id,date,store_nbr,family,sales,onpromotion
0,2013-01-01,1,AUTOMOTIVE,0.0,0
1,2013-01-01,1,BABY CARE,0.0,0
2,2013-01-01,1,BEAUTY,0.0,0
3,2013-01-01,1,BEVERAGES,0.0,0
4,2013-01-01,1,BOOKS,0.0,0
5,2013-01-01,1,BREAD/BAKERY,0.0,0
6,2013-01-01,1,CELEBRATION,0.0,0
7,2013-01-01,1,CLEANING,0.0,0
8,2013-01-01,1,DAIRY,0.0,0
9,2013-01-01,1,DELI,0.0,0
10,2013-01-01,1,EGGS,0.0,0
11,2013-01-01,1,FROZEN FOODS,0.0,0
12,2013-01-01,1,GROCERY I,0.0,0
13,2013-01-01,1,GROCERY II,0.0,0
14,2013-01-01,1,HARDWARE,0.0,0
15,2013-01-01,1,HOME AND KITCHEN I,0.0,0
16,2013-01-01,1,HOME AND KITCHEN II,0.0,0
17,2013-01-01,1,HOME APPLIANCES,0.0,0
18,2013-01-01,1,HOME CARE,0.0,0
19,2013-01-01,1,LADIESWEAR,0.0,0
20,2013-01-01,1,LAWN AND GARDEN,0.0,0
21,2013-01-01,1,LINGERIE,0.0,0
22,2013-01-01,1,"LIQUOR,WINE,BEER",0.0,0
23,2013-01-01,1,MAGAZINES,0.0,0
24,2013-01-01,1,MEATS,0.0,0
25,2013-01-01,1,PERSONAL CARE,0.0,0
26,2013-01-01,1,PET SUPPLIES,0.0,0
27,2013-01-01,1,PLAYERS AND ELECTRONICS,0.0,0
28,2013-01-01,1,POULTRY,0.0,0
29,2013-01-01,1,PREPARED FOODS,0.0,0
30,2013-01-01,1,PRODUCE,0.0,0
31,2013-01-01,1,SCHOOL AND OFFICE SUPPLIES,0.0,0
32,2013-01-01,1,SEAFOOD,0.0,0
33,2013-01-01,10,AUTOMOTIVE,0.0,0
34,2013-01-01,10,BABY CARE,0.0,0
35,2013-01-01,10,BEAUTY,0.0,0
36,2013-01-01,10,BEVERAGES,0.0,0
37,2013-01-01,10,BOOKS,0.0,0
38,2013-01-01,10,BREAD/BAKERY,0.0,0
39,2013-01-01,10,CELEBRATION,0.0,0
40,2013-01-01,10,CLEANING,0.0,0
41,2013-01-01,10,DAIRY,0.0,0
42,2013-01-01,10,DELI,0.0,0
43,2013-01-01,10,EGGS,0.0,0
44,2013-01-01,10,FROZEN FOODS,0.0,0
45,2013-01-01,10,GROCERY I,0.0,0
46,2013-01-01,10,GROCERY II,0.0,0
47,2013-01-01,10,HARDWARE,0.0,0
48,2013-01-01,10,HOME AND KITCHEN I,0.0,0
155515,2013-03-29,22,LADIESWEAR,0.0,0
155516,2013-03-29,22,LAWN AND GARDEN,0.0,0
155517,2013-03-29,22,LINGERIE,0.0,0
155518,2013-03-29,22,"LIQUOR,WINE,BEER",0.0,0
155519,2013-03-29,22,MAGAZINES,0.0,0
155520,2013-03-29,22,MEATS,0.0,0
155521,2013-03-29,22,PERSONAL CARE,0.0,0
155522,2013-03-29,22,PET SUPPLIES,0.0,0
155523,2013-03-29,22,PLAYERS AND ELECTRONICS,0.0,0
155524,2013-03-29,22,POULTRY,0.0,0
155525,2013-03-29,22,PREPARED FOODS,0.0,0
155526,2013-03-29,22,PRODUCE,0.0,0
155527,2013-03-29,22,SCHOOL AND OFFICE SUPPLIES,0.0,0
155528,2013-03-29,22,SEAFOOD,0.0,0
155529,2013-03-29,23,AUTOMOTIVE,4.0,0
155530,2013-03-29,23,BABY CARE,0.0,0
155531,2013-03-29,23,BEAUTY,0.0,0
155532,2013-03-29,23,BEVERAGES,675.0,0
155533,2013-03-29,23,BOOKS,0.0,0
155534,2013-03-29,23,BREAD/BAKERY,195.095,0
155535,2013-03-29,23,CELEBRATION,0.0,0
155536,2013-03-29,23,CLEANING,452.0,0
155537,2013-03-29,23,DAIRY,276.0,0
155538,2013-03-29,23,DELI,82.127,0
155539,2013-03-29,23,EGGS,72.0,0
210950,2013-04-29,28,HARDWARE,1.0,0
210951,2013-04-29,28,HOME AND KITCHEN I,0.0,0
210952,2013-04-29,28,HOME AND KITCHEN II,0.0,0
210953,2013-04-29,28,HOME APPLIANCES,2.0,0
210954,2013-04-29,28,HOME CARE,0.0,0
210955,2013-04-29,28,LADIESWEAR,0.0,0
210956,2013-04-29,28,LAWN AND GARDEN,0.0,0
210957,2013-04-29,28,LINGERIE,7.0,0
210958,2013-04-29,28,"LIQUOR,WINE,BEER",20.0,0
210959,2013-04-29,28,MAGAZINES,0.0,0
210960,2013-04-29,28,MEATS,122.447,0
210961,2013-04-29,28,PERSONAL CARE,204.0,0
210962,2013-04-29,28,PET SUPPLIES,0.0,0
210963,2013-04-29,28,PLAYERS AND ELECTRONICS,0.0,0
210964,2013-04-29,28,POULTRY,152.393,0
210965,2013-04-29,28,PREPARED FOODS,46.584,0
